Identifiers,Betweenness Centrality,Eigenvector Centrality
2016_GE,0.056725482846283835,0.07855158578630776
2016_CY,0.056725482846283835,0.0708878251943797
2015_GE,0.05453148570159569,0.06842655631008711
2017_BG,0.05443385141118311,0.054837360951323195
2011_BG,0.052889658216375306,0.015986973667904057
2018_AT,0.047165138947372266,0.014280169580864005
2017_GE,0.0469721677681731,0.08076213473717804
2016_BG,0.04680591729953566,0.0454480526994506
2013_AT,0.04620226607790077,0.003322267512361563
2021_CH,0.04275967924425726,0.04897542741102588
2012_SE,0.04117903232094519,0.0650747792678856
2018_AU,0.04045708984270881,0.04955616925799579
2023_CH,0.0404016636354983,0.049655336094215435
2015_AZ,0.04033908627451631,0.22248438689045577
2018_AZ,0.03820532685969299,1.0108990791726145
2018_BG,0.037842213353677163,0.053414403536973645
2021_MT,0.0367989601668154,0.04917914720590216
2016_HR,0.03637363323591869,0.00040331960401446726
2021_AL,0.03626963988795506,0.05607093801366569
2018_CY,0.03604756555106497,0.061964276546555605
2019_CY,0.03604239243839199,0.05242313042961669
2014_ME,0.03578698994186777,4.576534682938029e-05
2023_AL,0.035582354918544785,0.04886542900670278
2016_LT,0.035351781896549084,0.04880097439013602
2017_AM,0.03512786001941864,0.06983114908703261
2016_AM,0.03512268690674566,0.05913230831879433
2011_RU,0.03512046985845724,0.04874913515345338
2022_AU,0.03512046985845724,0.03961166823079183
2022_CH,0.03512046985845724,0.0434771259651266
2019_CH,0.03512046985845724,0.05547685385238212
2015_ME,0.03438071621252281,8.17254337362877e-06
2017_AT,0.034206571175112374,0.0029739036591618787
2008_UA,0.03290357523846322,1.24820663285652
2007_BY,0.03277247994147543,1.2096078405293549
2006_RU,0.03058055556098075,0.9058685791524484
2021_MD,0.029669077741871427,1.437780175027062
2016_AT,0.02854347646063351,0.0032866971379207793
2010_DK,0.02821187026070363,0.02472021817480456
2023_AT,0.027851757394646393,0.003273425726572879
2023_DE,0.027851757394646393,0.002950997575509193
2023_GB,0.027851757394646393,0.0026606352836401987
2023_AU,0.027851757394646393,0.002950997575509193
2014_AT,0.027851757394646393,0.002919934594667412
2017_DE,0.027851757394646393,0.003273425726572879
2012_AT,0.027851757394646393,0.002919934594667412
2015_AT,0.027851757394646393,0.003273425726572879
2023_GE,0.027851757394646393,0.003273425726572879
2023_AM,0.027851757394646393,0.0026606352836401987
2019_RU,0.02615198752836422,1.223042236417581
2017_MK,0.02448975997302667,0.043765795974073846
2021_GR,0.023953658341702988,0.9759877140510426
2008_GE,0.023842614135009585,0.2592998067625717
2010_RS,0.022651372974895757,1.4077534015387017e-06
2010_AZ,0.02264230947034527,0.1657074244123489
2004_GR,0.022569861259053484,1.1327349751974611
2013_SE,0.022459735543793862,0.03855129034188634
2018_MT,0.022360429082833515,0.036171314157652214
2013_GE,0.02193764999790635,0.03342120308592754
2019_MT,0.021768016477806747,0.03791226629367709
2007_ES,0.021710094918230245,0.027827095411272304
2017_CY,0.02160501298782659,0.03932480901515688
2018_MD,0.021473282782168826,1.1103722078744365
2016_RU,0.020788461199745683,1.1640652692888205
2014_RU,0.020782056393579135,1.1336189522685034
2013_RS,0.02075051272320904,1.5333698570056457e-06
2007_NO,0.019872900903226,0.024278938031829053
2013_AZ,0.019765352359971212,1.0430624108787638
2017_GR,0.01963425706298343,1.1087786351717699
2006_SE,0.019411015843138448,0.024227550668471206
2023_SE,0.019411015843138448,0.02569574563113529
2012_RS,0.019231046361805285,6.909545165036882e-06
2017_AZ,0.018809402487714736,0.21257240895842452
2008_RU,0.01866464946944524,0.7956534334422647
