talent,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Roles,performance_ids
Kate Ryan,0.000859476,0.0,0.000859476,1.67e-61,artist,2006-be
Niklas Bergwall,0.000859476,0.0,0.000859476,1.67e-61,writers,2006-be
Simon Hardwick,0.000859476,0.0,0.000859476,1.67e-61,backings,2006-be
Silvia Night,0.001718951,0.0,0.001342931,8.01e-45,"artist, lyricists",2006-is
Sigríður Beinteinsdóttir,0.000859476,0.0,0.001342931,6.17e-45,backings,2006-is
Luiz Ejlli,0.001289214,0.0,0.001964516,1.8700000000000001e-35,artist,2006-al
Petrit Lulo,0.001289214,0.0,0.001964516,1.8700000000000001e-35,backings,2006-al
Klodian Qafoku,0.003008165,5.54e-06,0.003055914,4.4200000000000003e-35,composers,"2006-al, 2017-al"
Dr. Flori,0.001289214,0.0,0.001964516,1.8700000000000001e-35,lyricists,2006-al
Annet Artani,0.000859476,0.0,0.000859476,1.67e-61,artist,2006-cy
Constantinos Andronikou,0.000859476,0.0,0.000859476,1.67e-61,backings,2006-cy
Peter Yiannakis,0.000859476,0.0,0.000859476,1.67e-61,writers,2006-cy
Anžej Dežan,0.001718951,0.0,0.022060906,2.25e-10,artist,2006-si
Matjaž Vlašič,0.002578427,0.000333112,0.023939693,9.17e-10,composers,"2006-si, 2011-si"
Maja Slatinšek,0.001718951,0.0,0.022060906,2.25e-10,backings,2006-si
Katja Lekan,0.001718951,0.0,0.022060906,2.25e-10,dancers,2006-si
Mariana Popova,0.000859476,0.0,0.000859476,9.88e-56,artist,2006-bg
Dani Milev,0.001718951,0.0,0.000859476,1.4e-55,"composers, backings",2006-bg
Elina Gavrilova,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2006-bg
Sandra,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2006-ee
Jelena Juzvik,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2006-ee
Pearu Paulus,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2006-ee
Jana Hallas,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2006-ee
Nonstop,0.000429738,0.0,0.000429738,8.1e-80,artist,2006-pt
José Manuel Afonso,0.000429738,0.0,0.000429738,8.1e-80,writers,2006-pt
Treble,0.000429738,0.0,0.000429738,8.1e-80,artist,2006-nl
Niña van Dijk,0.000429738,0.0,0.000429738,8.1e-80,writers,2006-nl
Séverine Ferrer,0.000429738,0.0,0.000429738,8.1e-80,artist,2006-mc
J. Woodfeel,0.000429738,0.0,0.000429738,8.1e-80,writers,2006-mc
Polina Smolova,0.000859476,0.0,0.000859476,1.67e-61,artist,2006-by
Sergey Sukhomlin,0.000859476,0.0,0.000859476,1.67e-61,composers,2006-by
Andrey Kostiugov,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2006-by
Jennifer,0.000859476,0.0,0.002047575,2.05e-39,artist,2006-ad
Miriam Guerrero,0.000859476,0.0,0.002047575,2.05e-39,backings,2006-ad
Marija Šerifović,0.001718951,0.0,0.028503866,4.49e-08,artist,2007-rs
Vladimir Graić,0.004297379,0.006834051,0.028668321,5.47e-08,composers,"2007-rs, 2012-si, 2015-rs"
Saša Milošević Mare,0.003437903,0.00373984,0.031530873,1.66e-07,"lyricists, composers","2007-rs, 2013-rs"
Suzana Dinić,0.001718951,0.0,0.028503866,4.49e-08,backings,2007-rs
Gorčin Stojanović,0.011173184,0.008008483,0.031578022,1.93e-07,stageDirector,"2007-rs, 2008-me, 2010-rs, 2010-ba, 2011-ba, 2015-rs, 2018-rs, 2019-me"
Verka Serduchka,0.000859476,0.0,0.000859476,1.67e-61,artist,2007-ua
Andriy Danylko,0.000859476,0.0,0.000859476,1.67e-61,writers,2007-ua
Vasily Goldakovskiy,0.000859476,0.0,0.000859476,1.67e-61,backings,2007-ua
Serebro,0.000859476,0.0,0.002148689,7.55e-39,artist,2007-ru
Daniil Babichev,0.000859476,0.0,0.002148689,7.55e-39,lyricists,2007-ru
Kenan Dogulu,0.000859476,0.0,0.000859476,1.67e-61,artist,2007-tr
Kenan Doğulu,0.000859476,0.0,0.000859476,1.67e-61,writers,2007-tr
Sarah Merry,0.000859476,0.0,0.000859476,1.67e-61,backings,2007-tr
Elitsa Todorova & Stoyan Yankulov,0.000859476,0.0,0.000859476,1.67e-61,artist,"2007-bg, 2013-bg"
Stoyan Yankoulov,0.000859476,0.0,0.000859476,1.67e-61,composers,2007-bg
Elitsa Todorova,0.000859476,0.0,0.000859476,1.67e-61,"lyricists, writers","2007-bg, 2013-bg"
Dmitry Koldun,0.001718951,0.0,0.044800428,0.107116551,artist,2007-by
Philipp Kirkorov,0.008165019,0.002191924,0.045500246,0.269895602,composers,"2007-by, 2008-ua, 2014-ru, 2016-ru, 2018-md, 2019-ru, 2021-md"
Natalia Donchenko,0.001718951,0.0,0.044800428,0.107116551,backings,2007-by
Sarbel,0.001718951,0.0,0.037000091,0.016736589,artist,2007-gr
Marcus Englöf,0.001718951,0.0,0.037000091,0.016736589,composers,2007-gr
Mack,0.001718951,0.0,0.037000091,0.016736589,lyricists,2007-gr
Larisa,0.001718951,0.0,0.037000091,0.016736589,backings,2007-gr
Hayko,0.002148689,0.0,0.043042654,0.02465674,"artist, composers",2007-am
Tigran Petrosyan,0.002578427,0.000691719,0.043075578,0.023251409,backings,"2007-am, 2008-am"
Andrey Sychov,0.001289214,0.0,0.043042654,0.022473233,stageDirector,2007-am
Magdi Rúzsa,0.001718951,0.0,0.00140381,1.1599999999999999e-41,"artist, composers",2007-hu
Imre Mózsik,0.001718951,3.7e-06,0.002105716,2.2199999999999999e-41,lyricists,"2007-hu, 2008-hu"
Závodi Gábor,0.000859476,0.0,0.00140381,9.169999999999999e-42,backings,2007-hu
Natalia Barbu,0.001718951,0.0,0.000859476,1.4e-55,"artist, composers, lyricists",2024-md
Alexandru Braşoveanu,0.000859476,0.0,0.000859476,9.88e-56,composers,2007-md
Elena Buga,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2007-md
Marija Sestic,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2007-ba
Goran Kovačić,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2007-ba
Aleksandra Milutinović,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2007-ba
Marina Đurović,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2007-ba
Sopho,0.000859476,0.0,0.040925973,0.000566366,artist,2007-ge
Beqa Jafaridze,0.000859476,0.0,0.040925973,0.000566366,composers,2007-ge
Bibi Kvachadze,0.003008165,0.000461885,0.048227923,0.005256125,lyricists,"2007-ge, 2012-ge"
Todomondo,0.000859476,0.0,0.000859476,1.67e-61,artist,2007-ro
Mister M,0.000859476,0.0,0.000859476,1.67e-61,composers,2007-ro
Vlad Creţu,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2007-ro
Karolina,0.001289214,0.0,0.025624513,6.09e-09,artist,2007-mk
Grigor Koprov,0.002578427,0.000230573,0.028303303,2.81e-08,composers,"2007-mk, 2008-me"
Ognen Nedelkovski,0.002578427,0.000230573,0.028303303,2.81e-08,lyricists,"2007-mk, 2008-me"
Stevo Cjepinovski,0.001289214,0.0,0.025624513,6.09e-09,backings,2007-mk
Alenka Gotar,0.000859476,0.0,0.026812,3.52e-08,artist,2007-si
Rudi Bučar,0.000859476,0.0,0.026812,3.52e-08,backings,2007-si
Bonaparti.lv,0.000859476,0.0,0.001342931,6.9e-46,artist,2007-lv
Kjell Jennstig,0.000859476,0.0,0.001342931,6.9e-46,composers,2007-lv
Torbjörn Wassenius,0.002148689,2.22e-06,0.002148689,1.5599999999999998e-45,"composers, lyricists","2007-lv, 2008-lv"
Hanna Pakarinen,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2007-fi
Miikka Huttunen,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2007-fi
Martti Vuorinen,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2007-fi
Risto Niinikoski,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2007-fi
The Ark,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-se
Ola Salo,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-se
Roger Cicero,0.000859476,0.0,0.000859476,1.67e-61,artist,2007-de
Matthias Hass,0.000859476,0.0,0.000859476,1.67e-61,composers,2007-de
Frank Ramond,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2007-de
NASH,0.001289214,0.0,0.048463114,0.002472408,artist,2007-es
Rebeca Rods,0.002578427,0.000691719,0.048504856,0.002554968,backings,"2007-es, 2016-es"
Tony Sánchez-Ohlsson,0.004297379,0.00160736,0.048560625,0.002877188,"composers, lyricists, writers","2007-es, 2012-es, 2015-es"
4Fun,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-lt
Julija Ritčik,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-lt
Les Fatals Picards,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-fr
Yves Giraud,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-fr
Scooch,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-gb
Russ Spencer,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-gb
Dervish,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-ie
Tommy Moran,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-ie
Sabrina,0.001289214,0.0,0.001718951,8.289999999999999e-42,artist,2007-pt
Nélson Araújo,0.001289214,0.0,0.001718951,8.289999999999999e-42,backings,2007-pt
Emanuel,0.002578427,3.33e-06,0.002578427,1.36e-41,"composers, writers","2007-pt, 2014-pt"
Tó Maria Vinhas,0.001289214,0.0,0.001718951,8.289999999999999e-42,lyricists,2007-pt
Anonymous,0.000859476,0.0,0.001617837,3.07e-38,artist,2007-ad
Alejandro Martínez,0.000859476,0.0,0.001617837,3.07e-38,writers,2007-ad
Ivan,0.002148689,4.43e-06,0.002500293,9.45e-38,"artist, backings",2007-ad
Eiríkur Hauksson,0.001289214,0.0,0.003102707,1.78e-34,artist,2007-is
Sibbi,0.001289214,0.0,0.003102707,1.78e-34,backings,2007-is
Peter Fenner,0.002578427,2.59e-05,0.004309316,4.23e-34,lyricists,"2007-is, 2008-is"
The Jet Set,0.000859476,0.0,0.001547056,1.37e-37,artist,2007-pl
Mateusz Krezan,0.000859476,0.0,0.001547056,1.37e-37,composers,2007-pl
Kamil Varen,0.002578427,2.96e-06,0.002578427,4.3000000000000005e-37,lyricists,"2007-pl, 2016-pl"
Evridiki,0.001289214,0.0,0.032728093,0.003372844,artist,2007-cy
Marianna Gerasimidou,0.001289214,0.0,0.032728093,0.003372844,backings,2007-cy
Dimitris Korgialas,0.001289214,0.0,0.032728093,0.003372844,composers,2007-cy
Poseidon Giannopoulos,0.003008165,0.000691719,0.037228386,0.027969444,lyricists,"2007-cy, 2008-gr"
Dragonfly feat. Dado Topic,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-hr
Dado Topić,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-hr
Aida & Frederik Ndoci,0.001289214,0.0,0.001914287,2.23e-38,artist,2007-al
Pandi Laço,0.002148689,7.39e-07,0.002339684,3.11e-38,lyricists,"2007-al, 2008-al"
Aida Ndoci,0.001289214,0.0,0.001914287,2.23e-38,backings,2007-al
Guri Schanke,0.000859476,0.0,0.048338316,0.002157078,artist,2007-no
DQ,0.002148689,0.0,0.006805164,1.53e-18,artist,2007-dk
Claus Storgaard,0.002148689,0.0,0.006805164,1.53e-18,backings,2007-dk
Simon Munk,0.002148689,0.0,0.006805164,1.53e-18,composers,2007-dk
Peter Andersen,0.002148689,0.0,0.006805164,1.53e-18,lyricists,2007-dk
René Winther,0.002148689,0.0,0.006805164,1.53e-18,dancers,2007-dk
DJ BoBo,0.000859476,0.0,0.0,8.1e-80,"artist, writers",2007-ch
Edsilia Rombley,0.000859476,0.0,0.000859476,9.88e-56,artist,2007-nl
Tjeerd Oosterhuis,0.001718951,0.0,0.000859476,1.4e-55,"composers, lyricists",2007-nl
Thirza Solcer,0.000859476,0.0,0.000859476,9.88e-56,backings,2007-nl
Stevan Faddy,0.001289214,0.0,0.001375161,5.1599999999999995e-45,artist,2007-me
Svetlana Raicković,0.001289214,0.0,0.001375161,5.1599999999999995e-45,backings,2007-me
Gerli Padar,0.001289214,0.0,0.001953354,4.0200000000000005e-43,artist,2007-ee
Mirjam Mesak,0.002148689,7.76e-06,0.002864919,6.05e-43,backings,"2007-ee, 2009-ee"
Hendrik Sal-Saller,0.001289214,0.0,0.001953354,4.0200000000000005e-43,composers,2007-ee
Berit Veiber,0.001289214,0.0,0.001953354,4.0200000000000005e-43,lyricists,2007-ee
Teapacks,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-il
Kobi Oz,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-il
Olivia Lewis,0.001718951,0.0,0.003119579,4.55e-28,artist,2007-mt
Lisette Vares Uhlmann,0.001718951,0.0,0.003119579,4.55e-28,backings,2007-mt
Anna Christodoulidou,0.001718951,0.0,0.003119579,4.55e-28,stageDirector,2007-mt
The KMG's,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2007-be
Lady Soulflower,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2007-be
Paul Curtiz,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2007-be
Sexyfire,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2007-be
Eric Papilaya,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2007-at
Thomas Pilat,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2007-at
Greg Usek,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2007-at
Austin Howard,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2007-at
Kabát,0.000429738,0.0,0.000429738,8.1e-80,artist,2007-cz
Tomáš Krulich,0.000429738,0.0,0.000429738,8.1e-80,writers,2007-cz
Jim Beanz,0.001289214,0.0,0.04243718,0.070458703,composers,2008-ru
Yulia Nalimova,0.001289214,0.0,0.04243718,0.070458703,backings,2008-ru
Ani Lorak,0.001718951,0.0,0.044800428,0.110534647,artist,2008-ua
Pykh,0.003008165,0.000131095,0.044871823,0.142297248,backings,"2008-ua, 2013-az"
Kalomira,0.001718951,0.0,0.037203791,0.027073409,artist,2008-gr
Konstantinos Pantzis,0.001718951,0.0,0.037203791,0.027073409,composers,2008-gr
Kostas Kapetanidis,0.001718951,0.0,0.037203791,0.027073409,stageDirector,2008-gr
Sirusho,0.002148689,0.0,0.037162872,0.003112899,"artist, lyricists",2008-am
H.A. Der-Hovagimian,0.001289214,0.0,0.037162872,0.002837232,composers,2008-am
Sergey Mandrik,0.001289214,0.0,0.037162872,0.002837232,stageDirector,2008-am
Maria,0.001289214,7.39e-07,0.001289214,4.3800000000000004e-57,"artist, backings",2012-no
Mira Craig,0.000859476,0.0,0.00096691,3.3600000000000004e-57,writers,2008-no
Øystein Nesbakken,0.000859476,0.0,0.00096691,3.3600000000000004e-57,backings,2008-no
Jelena Tomašević feat. Bora Dugic,0.001289214,0.0,0.030588886,1.23e-07,artist,2008-rs
Dejan Ivanović,0.001289214,0.0,0.030588886,1.23e-07,lyricists,2008-rs
Mirjana Nešković,0.001289214,0.0,0.030588886,1.23e-07,backings,2008-rs
Mor ve Ötesi,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-tr
Kerem Özyeğen,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-tr
Elnur & Samir,0.000859476,0.0,0.000859476,1.67e-61,artist,2008-az
Goher Hesenzade,0.000859476,0.0,0.000859476,1.67e-61,composers,2008-az
Zahra Bədəlbəyli,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2008-az
Boaz,0.001718951,0.0,0.005481185,1.77e-19,artist,2008-il
Dana International,0.002578427,0.0,0.005481185,2.04e-19,"composers, artist, writers","2008-il, 2011-il"
Shai Kerem,0.001718951,0.0,0.005481185,1.77e-19,lyricists,2008-il
Zach Eshel,0.001718951,0.0,0.005481185,1.77e-19,backings,2008-il
Doron Medalie,0.009883971,0.000100876,0.009371058,6.16e-19,"writers, stageDirector","2008-il, 2010-il, 2013-il, 2015-il, 2016-il, 2018-il"
Laka,0.000859476,0.0,0.0,8.1e-80,"artist, writers",2008-ba
Diana Gurtskaya,0.001289214,0.0,0.048532725,0.022965068,artist,2008-ge
Kim Breitburg,0.001289214,0.0,0.048532725,0.022965068,composers,2008-ge
Anri Jokhadze,0.004727116,0.011851698,0.055867201,0.029977354,"artist, composers, backings","2008-ge, 2017-ge"
Pirates Of The Sea,0.001289214,0.0,0.001534778,1.2399999999999999e-45,artist,2008-lv
Jonas Liberg,0.001289214,0.0,0.001534778,1.2399999999999999e-45,lyricists,2008-lv
Zane Biķe,0.001289214,0.0,0.001534778,1.2399999999999999e-45,backings,2008-lv
Vânia Fernandes,0.001289214,0.0,0.026816256,4.03e-08,artist,2008-pt
Carlos Coelho,0.002148689,7.39e-07,0.026824772,4.75e-08,lyricists,"2008-pt, 2012-pt"
Luís Sousa,0.001289214,0.0,0.026816256,4.03e-08,backings,2008-pt
Euroband,0.001289214,0.0,0.003783789,3.22e-34,artist,2008-is
Örlygur Smári,0.001718951,6.47e-06,0.004309316,3.79e-34,"composers, writers","2008-is, 2010-is"
Pétur Örn Guðmundsson,0.004297379,3.86e-05,0.005171179,6.41e-34,"backings, writers","2008-is, 2010-is, 2012-is, 2013-is, 2016-is"
Simon Mathew,0.000859476,0.0,0.000859476,1.67e-61,artist,2008-dk
Svend Gudiksen,0.000859476,0.0,0.000859476,1.67e-61,writers,2008-dk
Oliver McEwan,0.000859476,0.0,0.000859476,1.67e-61,backings,2008-dk
Rodolfo Chikilicuatre,0.000859476,0.0,0.000859476,1.67e-61,artist,2008-es
Roger Rubio Mora,0.000859476,0.0,0.000859476,1.67e-61,writers,2008-es
María Ángeles Mas,0.000859476,0.0,0.000859476,1.67e-61,backings,2008-es
Olta Boka,0.001289214,0.0,0.001914287,2.23e-38,artist,2008-al
Mariola Miso,0.001289214,0.0,0.001914287,2.23e-38,backings,2008-al
Charlotte Perrelli,0.000859476,0.0,0.002961162,1.59e-26,artist,2008-se
Fredrik Kempe,0.003867641,3.99e-05,0.004211431,7.410000000000001e-26,"composers, lyricists, writers","2008-se, 2009-se, 2011-se"
Wictoria Nilsson,0.000859476,0.0,0.002961162,1.59e-26,backings,2008-se
Sébastien Tellier,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"artist, composers, lyricists",2008-fr
Stanislas Debit,0.000429738,0.0,0.000429738,8.51e-68,backings,2008-fr
Nico & Vlad,0.000859476,0.0,0.000859476,9.88e-56,artist,2008-ro
Andrei Tudor,0.001718951,0.0,0.000859476,1.4e-55,"backings, composers",2008-ro
Andreea Andrei,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2008-ro
Kraljevi Ulice & 75 Cents,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-hr
Miran 'Hadži' Veljković,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-hr
Teräsbetoni,0.000859476,0.0,0.000859476,1.67e-61,artist,2008-fi
Osku Ketola,0.000859476,0.0,0.000859476,1.67e-61,backings,2008-fi
Jarkko Ahola,0.000859476,0.0,0.000859476,1.67e-61,writers,2008-fi
No Angels,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-de
Thomas Troelsen,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-de
Isis Gee,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"artist, writers",2008-pl
Patrycja Kawecka,0.000429738,0.0,0.000429738,8.51e-68,backings,2008-pl
Andy Abraham,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-gb
Paul Wilson,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-gb
"Tamara, Vrčak & Adrijan",0.000859476,0.0,0.001999934,4.920000000000001e-37,artist,2008-mk
Toma Đorđević,0.000859476,0.0,0.001999934,4.920000000000001e-37,backings,2008-mk
Deep Zone & Balthazar,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-bg
Dian Savov,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-bg
Paolo Meneguzzi,0.001718951,0.0,0.000859476,1.4e-55,"artist, composers",2008-ch
Thomas Grazioso,0.000859476,0.0,0.000859476,9.88e-56,backings,2008-ch
Vincenzo Incenzo,0.000859476,0.0,0.000859476,9.88e-56,lyricists,2008-ch
Morena,0.001289214,0.0,0.003008165,3.49e-28,artist,2008-mt
Thomas Benstem,0.001289214,0.0,0.003008165,3.49e-28,backings,2008-mt
Rebeka Dremelj,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2008-si
Josip Miani-Pipi,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2008-si
"Igor Mazul ""Amon""",0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2008-si
Željko Božič,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2008-si
Geta Burlacu,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2008-md
Oleg Baraliuc,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2008-md
Viorica Demici,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2008-md
Petru Haruta,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2008-md
Evdokia Kadi,0.001718951,0.0,0.003453251,1.1e-28,artist,2008-cy
Tefkros Neokleous,0.001718951,0.0,0.003453251,1.1e-28,backings,2008-cy
Nikos Evangelou,0.001718951,0.0,0.003453251,1.1e-28,composers,2008-cy
Vangelis Evangelou,0.001718951,0.0,0.003453251,1.1e-28,lyricists,2008-cy
Jeronimas Milius,0.001718951,0.0,0.000859476,1.4e-55,"artist, lyricists",2008-lt
Vytautas Diškevičius,0.000859476,0.0,0.000859476,9.88e-56,composers,2008-lt
"Dalius Abaris, Vytautas Dambrauskas",0.000859476,0.0,0.000859476,9.88e-56,stageDirector,2008-lt
Hind,0.000859476,0.0,0.000859476,9.88e-56,artist,2008-nl
Tjeerd van Zanen,0.001718951,0.0,0.000859476,1.4e-55,"composers, lyricists",2008-nl
Serge Dominique Monpellier,0.000859476,0.0,0.000859476,9.88e-56,backings,2008-nl
Ruslan Alehno,0.001289214,0.0,0.002320584,1.62e-30,artist,2008-by
Taras Demchuk,0.001289214,0.0,0.002320584,1.62e-30,composers,2008-by
Eleonora Melnik,0.001289214,0.0,0.002320584,1.62e-30,lyricists,2008-by
Emy Armine Zaryan,0.003867641,7.76e-06,0.003867641,4.8699999999999996e-30,"backings, stageDirector","2008-by, 2010-gr, 2011-am"
Stefan Filipović,0.001718951,0.0,0.028293823,2.7e-08,artist,2008-me
Mateja Majerle,0.001718951,0.0,0.028293823,2.7e-08,backings,2008-me
Dustin the Turkey,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2008-ie
Ann Harrington,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2008-ie
Simon Fine,0.001289214,0.0,0.001289214,1.6399999999999998e-48,writers,2008-ie
Sven Stojanović,0.001289214,0.0,0.001289214,1.6399999999999998e-48,stageDirector,2008-ie
Gisela,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-ad
Jordi Cubino,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-ad
Ishtar,0.000429738,0.0,0.000429738,8.1e-80,artist,2008-be
Michel Vangheluwe,0.000429738,0.0,0.000429738,8.1e-80,writers,2008-be
Tereza Kerndlová,0.000859476,0.0,0.000859476,1.67e-61,artist,2008-cz
Veronika Nízlová,0.000859476,0.0,0.000859476,1.67e-61,backings,2008-cz
Stano Šimor,0.000859476,0.0,0.000859476,1.67e-61,writers,2008-cz
Kreisiraadio,0.000859476,0.0,0.000859476,1.67e-61,artist,2008-ee
Merit Reigam,0.000859476,0.0,0.000859476,1.67e-61,backings,2008-ee
Tarmo Leinatamm,0.000859476,0.0,0.000859476,1.67e-61,writers,2008-ee
Csézy,0.000859476,0.0,0.001754763,1.78e-41,artist,2008-hu
Viktor Rakonczai,0.003008165,4.43e-06,0.002339684,4.34e-41,"backings, composers","2008-hu, 2011-hu"
Miodio,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2008-sm
Aniko Pusztai,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2008-sm
Francesco Sancisi,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2008-sm
Nicola Della Valle,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2008-sm
Alexander Rybak,0.002148689,1.85e-07,0.008599873,3.05e-15,"artist, writers","2009-no, 2018-no"
Torkjell Lunde Børsheim,0.000859476,0.0,0.008498698,2.4e-15,backings,2009-no
Mattias Carlsson,0.015470563,0.000279533,0.015704116,1.47e-14,stageDirector,"2009-no, 2010-no, 2011-no, 2014-no, 2014-ro, 2015-no, 2016-no, 2017-no, 2018-no, 2019-no, 2021-no, 2022-no"
Yohanna,0.000859476,0.0,0.002770274,9.05e-35,artist,2009-is
Tinatin,0.000859476,0.0,0.002770274,9.05e-35,writers,2009-is
Hera Björk,0.002578427,2.36e-05,0.00397783,3.16e-34,"artist, backings",2009-is
AySel & Arash,0.000429738,0.0,0.000429738,8.51e-68,artist,2009-az
Robert Uhlmann,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"composers, lyricists",2009-az
Hadise,0.001289214,0.0,0.001289214,1.6399999999999998e-48,artist,2009-tr
Sinan Akçıl,0.001289214,0.0,0.001289214,1.6399999999999998e-48,composers,2009-tr
Stefan Fernande,0.001289214,0.0,0.001289214,1.6399999999999998e-48,lyricists,2009-tr
Uğur Yıldırım,0.001289214,0.0,0.001289214,1.6399999999999998e-48,backings,2009-tr
Jade Ewen,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-gb
Diane Eve Warren,0.000859476,0.0,0.000859476,1.67e-61,writers,2009-gb
Andrew Lloyd Webber,0.000859476,0.0,0.000859476,1.67e-61,backings,2009-gb
Urban Symphony,0.000859476,0.0,0.002387433,3.3800000000000002e-43,artist,2009-ee
Dimitris Kontopoulos,0.006446068,0.001044618,0.046476593,0.173942537,composers,"2009-gr, 2013-az, 2017-gr, 2018-az"
Craig Porteils,0.001718951,0.0,0.039873121,0.036085856,lyricists,2009-gr
Nikolaos Marianos,0.001718951,0.0,0.039873121,0.036085856,backings,2009-gr
"Fokas Evangelinos, Nick Marianos",0.001718951,0.0,0.039873121,0.036085856,stageDirector,2009-gr
Patricia Kaas,0.000859476,0.0,0.000859476,1.67e-61,artist,2009-fr
Fred Blondin,0.000859476,0.0,0.000859476,1.67e-61,composers,2009-fr
Anse Lazio,0.000859476,0.0,0.000859476,1.67e-61,lyricists,2009-fr
Regina,0.001289214,0.0,0.002759872,5e-31,artist,2009-ba
Aleksandar Čović,0.001289214,0.0,0.002759872,5e-31,writers,2009-ba
Elma Selimović,0.001289214,0.0,0.002759872,5e-31,backings,2009-ba
Boris Miljković,0.003008165,1.55e-05,0.004006266,1.47e-30,stageDirector,"2009-ba, 2014-mk"
Inga & Anush,0.000859476,0.0,0.001145968,8.089999999999999e-54,artist,2009-am
Mane Akopyan,0.000859476,0.0,0.001145968,8.089999999999999e-54,composers,2009-am
Vardan Zadoyan,0.001718951,1.48e-06,0.001718951,1.26e-53,lyricists,"2009-am, 2013-am"
Anastasia Prikhodko,0.000429738,0.0,0.000429738,8.51e-68,artist,2009-ru
Konstantin Meladze,0.001289214,0.0,0.000429738,1.3799999999999999e-67,"composers, lyricists",2009-ru
Svetlana Loboda,0.002148689,0.0,0.002115633,5.750000000000001e-29,"artist, composers",2009-ua
